price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade
360000.0,4,2.5,2380,5000,2.0,0,0,3,8
349000.0,3,1.75,1790,50529,1.0,0,0,5,7
832500.0,4,4.0,3430,35102,2.0,0,0,4,10
380000.0,4,1.75,1760,7300,1.0,0,0,3,7
480000.0,3,1.0,1040,5060,1.0,0,0,3,7
410000.0,3,1.0,1410,5060,1.0,0,0,4,7
720000.0,4,2.5,3450,39683,2.0,0,0,3,10
390000.0,3,2.5,2350,5100,2.0,0,0,3,8
360000.0,4,2.5,1900,5889,2.0,0,0,3,7
355000.0,2,1.0,2020,6720,1.0,0,0,3,7
356000.0,3,1.5,1680,8712,1.0,0,0,3,8
315000.0,3,1.0,960,6634,1.0,0,0,3,6
940000.0,3,1.5,2140,3600,2.0,0,0,3,9
305000.0,5,2.25,2660,8400,1.5,0,0,5,7
461000.0,3,3.25,2770,6278,2.0,0,0,3,9
215000.0,2,2.25,1610,2040,2.0,0,0,4,7
335000.0,2,1.75,1030,1066,2.0,0,0,3,7
243500.0,4,2.5,1980,7403,2.0,0,0,3,7
1099880.0,5,2.75,3520,6353,2.0,0,0,4,10
153000.0,3,1.0,1200,10500,1.0,0,0,3,7
430000.0,3,1.5,1580,5000,1.0,0,0,3,8
700000.0,3,1.5,1580,5000,1.0,0,0,3,8
905000.0,4,2.5,3300,10250,1.0,0,0,3,7
247500.0,3,1.75,1960,15681,1.0,0,0,3,7
199000.0,4,1.5,1160,6400,1.0,0,0,4,7
314000.0,3,1.75,1810,41800,1.0,0,0,5,7
437500.0,3,2.5,2320,36847,2.0,0,2,3,9
850830.0,3,2.5,2070,13241,1.5,0,0,5,9
555000.0,3,2.0,1980,3478,1.5,0,0,4,7
699950.0,3,2.25,2190,107593,2.0,0,0,4,8
1088000.0,3,2.5,2920,8113,2.0,0,0,3,8
290000.0,3,1.0,1210,33919,1.0,0,0,3,7
375000.0,3,2.5,2340,10005,1.0,0,0,4,8
460000.0,3,1.0,1670,4005,1.5,0,0,4,7
188500.0,2,1.75,1240,2493,1.0,0,0,4,8
680000.0,4,2.5,3140,28037,2.0,0,0,4,10
470000.0,5,1.75,2030,12342,2.0,0,0,4,7
597750.0,4,2.5,2310,9624,2.0,0,0,3,8
570000.0,3,1.75,1260,3328,1.0,0,0,5,6
272500.0,3,1.75,1540,12600,1.0,0,0,4,7
329950.0,3,1.75,2080,5969,1.0,0,2,3,7
480000.0,4,2.5,3230,16171,2.0,0,3,3,9
740500.0,3,3.5,4380,6350,2.0,0,0,3,8
518500.0,3,3.5,1590,1102,3.0,0,0,3,8
205425.0,2,1.0,880,6780,1.0,0,0,4,6
171800.0,4,2.0,1570,9600,1.0,0,0,3,6
535000.0,4,1.0,1610,2982,1.5,0,0,4,7
660000.0,3,2.5,2400,6474,1.0,0,2,3,8
391500.0,3,2.0,1450,9132,1.0,0,0,3,7
395000.0,2,1.0,770,6000,1.0,0,0,3,6
445000.0,4,1.75,2100,4400,1.5,0,0,5,7
770000.0,3,2.25,2910,10204,2.0,0,0,3,9
1450000.0,4,2.75,2750,17789,1.5,0,0,3,8
445000.0,3,2.25,2100,8201,1.0,0,2,3,8
260000.0,4,2.25,2160,8811,1.0,0,0,3,8
822500.0,5,3.5,2320,4960,2.0,0,0,5,7
430000.0,4,2.5,2070,4310,2.0,0,0,3,7
212000.0,3,1.75,1060,7875,1.0,0,0,4,7
660500.0,4,2.25,2010,9603,1.0,0,0,3,8
784000.0,3,3.5,3950,111078,1.5,0,0,3,9
453246.0,3,2.5,2010,2287,2.0,0,0,3,8
675000.0,4,3.5,2140,2278,3.0,0,0,3,9
199000.0,3,1.75,1320,17390,1.0,0,0,4,7
220000.0,4,1.75,2020,7840,1.0,0,0,3,7
452000.0,4,2.25,2590,10002,1.0,0,0,4,8
382500.0,2,1.0,1190,4440,1.0,0,0,3,6
519950.0,3,2.25,1170,1249,3.0,0,0,3,8
665000.0,2,1.0,1110,3200,1.0,0,0,3,7
527700.0,5,2.5,2820,9375,1.0,0,0,4,8
205000.0,3,1.0,1610,8579,1.0,0,0,4,7
420000.0,3,1.0,1060,8097,1.0,0,0,4,7
500000.0,4,2.25,2030,8517,1.0,0,0,4,8
921500.0,4,2.5,3670,315374,2.0,0,0,4,9
890000.0,4,1.0,2550,4000,2.0,0,0,3,8
430000.0,2,2.5,2420,60984,2.0,0,0,3,7
258000.0,5,2.0,2260,12500,1.0,0,0,4,8
511000.0,3,1.0,1430,3455,1.0,0,0,3,7
532170.0,3,2.0,1360,3090,2.0,0,0,3,8
560000.0,3,1.0,1110,5000,1.5,0,0,3,7
282950.0,3,1.0,1250,8200,1.0,0,0,4,7
2250000.0,4,3.25,5180,19850,2.0,0,3,3,12
350000.0,1,1.0,700,5100,1.0,0,0,3,7
215000.0,3,1.0,1180,7669,1.0,0,0,4,7
650000.0,5,3.5,3960,25245,2.0,0,0,3,9
320000.0,4,2.75,2640,7500,1.0,0,0,3,8
247000.0,3,2.0,1270,7198,1.5,0,0,3,7
320000.0,4,1.75,1760,11180,1.0,0,0,4,8
255000.0,5,2.25,2060,8632,1.0,0,0,3,7
438000.0,3,1.75,1780,9660,1.0,0,0,3,7
900000.0,3,2.5,3400,16603,2.0,0,0,3,10
441000.0,3,2.75,1910,7280,1.0,0,0,3,7
420000.0,3,2.0,2020,38332,1.0,0,0,4,7
370000.0,3,1.75,1580,7000,1.0,0,0,3,7
269950.0,2,1.75,1340,7250,1.0,0,0,5,5
807100.0,4,2.5,2680,4499,2.0,0,0,3,9
653000.0,3,2.5,2680,9750,1.0,0,0,4,8
371500.0,3,2.0,1370,8336,1.0,0,0,5,7
284000.0,3,1.75,1560,21000,1.0,0,0,3,7
272000.0,3,1.75,2160,7140,1.0,0,0,4,7
313000.0,3,1.5,1340,7912,1.5,0,0,3,7
917500.0,4,2.5,3880,35003,2.0,0,0,3,10
673000.0,4,2.25,2590,8190,2.0,0,0,4,8
425000.0,3,2.5,1120,1100,2.0,0,0,3,8
399950.0,5,2.75,1970,5400,1.0,0,0,3,7
385000.0,3,1.0,1220,4800,1.0,0,0,3,6
269950.0,3,1.5,1950,7560,1.0,0,2,4,7
330000.0,2,1.0,1350,8220,1.0,0,0,3,7
260000.0,3,2.5,1670,5797,2.0,0,0,3,7
470000.0,4,3.0,2380,5125,1.5,0,0,4,7
589000.0,4,3.0,2440,9600,2.0,0,0,5,7
163500.0,2,1.5,1050,3419,2.0,0,0,3,7
835000.0,4,2.75,3130,13412,2.0,0,0,3,9
1095000.0,5,3.0,4090,12850,1.0,0,2,4,10
269000.0,4,1.75,1490,10000,1.0,0,0,4,8
560000.0,3,2.5,1900,8744,2.0,0,0,3,8
615000.0,4,1.0,1330,2400,1.5,0,0,4,6
585188.0,3,2.25,2230,10026,1.0,0,0,3,8
305000.0,3,1.75,1650,9480,1.0,0,0,3,7
166950.0,3,1.0,1190,8820,1.0,0,0,3,6
799000.0,3,2.5,2140,9897,1.0,0,0,4,8
400000.0,3,2.5,2180,7508,1.0,0,0,4,7
230000.0,3,1.0,1060,10228,1.0,0,0,3,7
256883.0,3,2.5,1690,5025,2.0,0,0,3,8
423000.0,4,2.0,1970,6480,1.5,0,0,5,7
465000.0,3,2.5,2150,4084,2.0,0,0,3,8
440000.0,3,2.5,1910,66211,2.0,0,0,3,7
385000.0,3,1.75,1350,155073,1.0,0,0,4,7
210000.0,3,1.0,860,11725,1.0,0,0,4,6
297000.0,3,2.5,1940,14952,2.0,0,0,3,8
470000.0,3,1.0,1010,5000,1.0,0,0,3,7
226500.0,3,1.5,1300,7370,1.0,0,0,4,7
274250.0,3,1.0,910,8450,1.0,0,0,4,6
840000.0,4,1.75,2480,11010,1.0,0,0,4,9
677900.0,3,2.5,2440,4587,2.0,0,0,3,8
425000.0,3,1.0,1010,5864,1.0,0,0,3,7
180250.0,2,0.75,900,9600,1.0,0,0,3,6
464000.0,6,3.0,2300,3404,2.0,0,0,3,7
320000.0,4,2.25,1550,7579,2.0,0,0,3,8
625504.0,3,2.25,1270,1566,2.0,0,0,3,8
592500.0,4,2.5,2240,12032,1.0,0,0,3,9
465000.0,3,2.5,2714,17936,2.0,0,0,3,9
477000.0,4,2.75,1720,6270,2.0,0,0,3,8
280000.0,2,1.0,850,16400,1.0,0,0,3,6
1505000.0,5,3.0,3300,33474,1.0,0,3,3,9
445838.0,3,2.5,2250,5692,2.0,0,0,3,8
1072000.0,2,2.25,3900,14864,1.0,0,3,3,8
467000.0,2,1.5,1320,10800,1.0,0,0,4,8
686000.0,4,2.5,2760,6440,2.0,0,0,3,10
279950.0,3,2.0,1750,9750,1.0,0,0,3,7
527000.0,4,2.25,2330,19436,2.0,0,0,3,8
325000.0,3,2.25,2220,16020,1.0,0,0,4,8
328000.0,3,2.25,2020,8379,2.0,0,0,3,7
390000.0,3,2.25,1250,7500,1.0,0,0,5,7
479950.0,2,2.0,1510,6516,1.0,0,0,3,8
264950.0,4,2.25,1720,9753,1.0,0,0,4,7
235000.0,3,1.0,1430,15246,1.0,0,0,4,7
516500.0,3,2.5,1480,4729,2.0,0,0,3,7
655000.0,2,1.75,1450,15798,2.0,1,4,3,7
500000.0,4,2.75,2280,15347,1.0,0,0,5,7
315000.0,6,2.75,2940,7350,1.0,0,0,3,8
213000.0,2,1.0,1000,10200,1.0,0,0,3,6
475000.0,3,1.5,2480,5280,1.5,0,0,5,7
1025000.0,5,4.0,3760,28040,2.0,0,0,3,10
416000.0,3,2.0,2220,94300,1.0,0,0,5,7
410000.0,4,1.0,1970,4740,1.5,0,0,3,7
800000.0,3,3.5,3830,221284,2.0,0,0,3,10
472000.0,6,2.5,4410,14034,1.0,0,2,4,9
225000.0,3,1.75,1430,8505,1.0,0,0,4,7
210000.0,2,1.0,830,6000,1.0,0,0,3,6
455000.0,2,1.0,1430,5000,1.5,0,0,2,7
225000.0,3,1.0,1300,8316,1.0,0,0,4,6
480000.0,2,1.0,1030,3060,1.0,0,2,4,7
363000.0,3,2.5,2740,11872,2.0,0,0,3,9
2400000.0,4,2.5,3650,8354,1.0,1,4,3,9
181000.0,2,1.5,720,5120,1.0,0,0,3,6
250000.0,4,2.0,2010,7312,1.0,0,0,4,7
481000.0,3,1.75,1560,3000,1.0,0,0,4,6
260000.0,3,2.0,1810,7209,1.0,0,0,4,7
455000.0,4,2.5,3360,7685,2.0,0,0,3,9
415000.0,3,2.25,1510,36224,2.0,0,0,3,8
349500.0,3,1.0,1400,3538,1.0,0,0,3,7
245000.0,3,2.5,1730,7442,2.0,0,0,3,7
592500.0,2,2.0,1420,9191,1.5,0,2,5,7
385000.0,4,1.75,2360,7620,1.0,0,0,4,7
315000.0,3,1.75,1580,11455,1.0,0,0,4,7
255000.0,3,1.0,1230,10170,1.0,0,0,3,7
693000.0,4,2.5,2460,4425,2.0,0,0,3,8
780000.0,3,1.0,1660,4400,1.5,0,0,3,8
237000.0,3,1.75,1270,8470,1.0,0,0,4,7
525000.0,3,2.25,2100,40510,2.0,0,0,3,10
425000.0,2,1.0,770,5040,1.0,0,0,3,5
369900.0,1,0.75,760,10079,1.0,1,4,5,5
290000.0,4,2.5,1700,7280,2.0,0,0,4,7
285000.0,3,1.0,1120,10701,1.0,0,0,3,7
415000.0,2,1.0,1070,4500,1.0,0,0,3,7
272500.0,3,2.5,2070,9900,1.0,0,0,3,8
2900000.0,4,3.25,5050,20100,1.5,0,2,3,11
1365000.0,4,4.75,5310,57346,2.0,0,0,4,11
436000.0,2,1.0,1040,7538,1.0,0,0,4,7
210000.0,3,1.0,1700,11390,1.0,0,0,4,7
236000.0,3,1.0,1300,5898,1.0,0,0,3,7
331000.0,3,1.75,1080,1306,1.0,0,0,3,7
365000.0,3,2.5,2653,4510,2.0,0,0,3,8
450000.0,3,2.0,2290,16258,1.0,0,0,5,8
770000.0,4,2.75,3820,26300,2.0,0,0,3,9
455000.0,4,2.5,2210,49375,1.0,0,0,3,8
405000.0,3,1.75,2390,6000,1.0,0,0,3,6
304900.0,4,1.75,2600,11325,1.0,0,0,4,7
170000.0,2,1.0,860,5265,1.0,0,0,3,6
2050000.0,5,3.0,3830,8480,2.0,0,1,5,9
780000.0,4,2.5,3500,7048,2.0,0,0,3,9
330000.0,3,3.0,2420,13959,1.0,0,0,4,8
370000.0,4,2.5,2720,8666,2.0,0,0,3,9
467000.0,5,2.25,2500,13500,1.0,0,0,3,7
405000.0,3,1.75,1670,6720,1.0,0,0,3,7
675000.0,5,2.25,2900,10300,1.0,0,0,3,8
500000.0,2,1.0,1640,14100,1.0,0,0,4,7
389999.0,4,2.5,1890,15770,2.0,0,0,4,7
630000.0,4,1.75,2950,9025,1.0,0,2,4,8
360000.0,4,2.5,2160,9528,2.0,0,0,3,9
580000.0,4,3.0,3280,11060,2.0,0,0,3,8
550000.0,3,2.0,1970,4166,2.0,0,3,5,8
879000.0,4,2.5,3360,22111,2.0,0,0,3,10
265000.0,3,2.0,1320,8959,1.0,0,0,3,7
446500.0,3,2.5,2650,7286,2.0,0,0,3,8
404000.0,3,1.5,2030,8880,1.0,0,0,3,7
267500.0,3,1.75,1590,11914,1.0,0,2,3,7
3075000.0,4,5.0,4550,18641,1.0,1,4,3,10
335000.0,3,2.5,2440,7632,2.0,0,0,3,8
576000.0,3,2.5,1940,9000,1.0,0,0,4,7
208633.0,3,2.5,2040,3810,2.0,0,0,3,8
315000.0,3,2.25,2200,8750,1.0,0,0,4,7
725000.0,3,1.75,1920,3300,1.0,0,0,4,8
550000.0,4,2.75,1800,7750,1.0,0,0,4,8
610750.0,4,2.25,2180,7297,2.0,0,0,3,8
550700.0,2,1.0,1010,5000,1.5,0,0,4,6
665000.0,4,2.75,3320,10574,2.0,0,0,5,8
834000.0,4,2.5,2370,4000,1.5,0,2,5,8
201000.0,5,1.75,1660,78408,1.5,0,0,3,6
2384000.0,5,2.5,3650,9050,2.0,0,4,5,10
1384000.0,4,3.25,4290,12103,1.0,0,3,3,11
1400000.0,4,3.25,4290,12103,1.0,0,3,3,11
305000.0,4,2.25,1950,7700,1.0,0,0,3,8
487000.0,3,2.0,2590,14052,1.0,0,0,5,8
390000.0,3,2.5,1930,64904,1.0,0,0,4,8
548000.0,2,1.0,1470,3864,1.0,0,0,4,7
268750.0,4,1.0,800,8775,1.0,0,0,3,6
819900.0,5,2.75,3150,7119,2.0,0,0,3,9
520000.0,3,2.25,2030,16200,2.0,0,0,3,8
230000.0,3,2.0,1450,11204,1.0,0,0,3,7
240000.0,3,1.75,1510,10248,1.0,0,0,3,7
232000.0,2,1.0,1240,12092,1.0,0,0,3,6
240500.0,2,1.0,1240,12092,1.0,0,0,3,6
274975.0,3,2.5,3030,45004,2.0,0,0,3,9
740000.0,4,2.0,2050,4400,1.5,0,0,4,9
186375.0,3,1.0,1000,7636,1.0,0,0,2,7
790000.0,3,2.25,2370,10289,1.0,0,0,4,9
880000.0,4,3.5,2800,6750,2.0,0,0,3,9
279000.0,6,1.75,2240,11180,2.0,0,0,4,7
295000.0,3,2.0,1810,10530,1.0,0,2,3,8
640000.0,2,1.0,1070,5000,1.0,0,0,3,7
940000.0,4,2.0,2490,9525,2.0,0,0,5,9
260000.0,4,2.5,1960,5238,2.0,0,0,3,7
559900.0,3,2.75,2930,5569,1.0,0,0,3,9
791500.0,4,2.0,1510,3500,1.5,0,0,5,7
265000.0,3,1.75,1420,8250,1.0,0,0,3,7
245000.0,3,1.75,1740,11547,1.0,0,0,3,7
485000.0,4,1.75,2560,43995,2.0,0,0,4,7
684000.0,4,3.5,3040,8414,2.0,0,0,3,9
425000.0,3,1.75,2500,6840,1.0,0,0,3,8
309600.0,4,1.75,1275,20000,1.0,0,0,4,6
552250.0,4,2.5,2580,5823,2.0,0,0,3,8
165000.0,4,1.0,1000,7134,1.0,0,0,3,6
239900.0,4,1.0,1000,7134,1.0,0,0,3,6
320000.0,2,1.0,1070,32633,1.0,0,0,4,6
206600.0,3,2.0,1390,13464,1.0,0,0,4,7
387000.0,4,1.75,2500,7690,1.0,0,0,3,7
299000.0,1,0.75,560,12120,1.0,0,0,3,4
855000.0,4,2.75,2270,10460,2.0,0,0,3,9
315000.0,3,1.0,1900,14400,1.0,0,0,4,7
437500.0,2,1.0,990,3120,1.0,0,2,5,7
252000.0,4,1.5,1550,19800,1.0,0,0,4,7
375000.0,4,1.75,2200,7475,1.0,0,0,5,7
300000.0,4,2.5,1910,4862,2.0,0,0,3,7
420000.0,4,1.0,1750,9600,1.5,0,0,4,7
900000.0,3,1.0,1330,77972,1.0,0,0,3,7
679900.0,3,2.5,2440,5750,2.0,0,2,3,9
463000.0,3,2.5,1640,29970,2.0,0,0,3,7
380000.0,5,2.5,2760,11340,2.0,0,0,4,9
329500.0,4,2.5,1820,7912,2.0,0,0,3,7
604950.0,3,2.5,2110,5608,1.0,0,0,3,8
795000.0,5,2.5,3040,9570,1.0,0,2,4,8
465000.0,3,2.0,1840,40438,2.0,0,0,3,7
673000.0,4,2.5,2990,10400,2.0,0,0,3,9
810000.0,4,2.5,3520,15420,2.0,0,0,3,10
785000.0,4,2.75,2440,69415,1.0,0,0,4,8
338000.0,4,3.0,2090,7500,1.0,0,0,3,7
280000.0,3,2.25,1430,7222,2.0,0,0,3,7
315000.0,4,2.25,2180,10754,1.0,0,0,5,7
530000.0,4,2.25,2180,10754,1.0,0,0,5,7
380000.0,5,3.0,3450,9914,2.0,0,0,3,9
297000.0,3,2.25,1450,7562,2.0,0,0,3,7
730000.0,4,2.5,3230,7331,2.0,0,0,3,10
450000.0,3,1.75,1640,13500,1.0,0,0,3,7
275000.0,3,3.0,1590,7750,1.0,0,0,3,7
595000.0,4,2.0,2020,2849,2.0,0,0,3,7
435000.0,3,1.5,1300,3348,1.5,0,0,3,7
270000.0,2,1.5,1380,209959,1.0,0,0,1,6
950000.0,3,3.0,4040,14338,2.0,0,0,3,10
389000.0,4,2.25,2130,5337,2.0,0,0,3,7
560000.0,4,2.25,2550,7800,1.0,0,0,3,8
1350000.0,5,3.5,4800,14984,2.0,0,2,3,11
799000.0,4,2.25,2510,11585,2.0,0,0,4,8
365500.0,3,2.0,1410,9600,1.0,0,0,4,7
252350.0,3,2.0,1650,7352,1.0,0,0,3,7
403950.0,4,2.5,2120,13780,2.0,0,0,3,8
385000.0,4,1.5,2040,10726,1.0,0,0,3,7
345000.0,4,1.0,1550,7620,1.5,0,0,3,7
490000.0,3,2.75,1980,3128,2.0,0,0,4,9
330000.0,3,2.5,1600,26977,2.0,0,0,3,8
927000.0,4,2.75,3300,12090,2.0,0,0,3,8
1118000.0,4,2.5,3840,16619,2.0,0,1,4,10
330000.0,2,1.0,1220,10000,1.0,0,0,5,7
530000.0,5,2.25,2720,8800,1.0,0,0,4,7
365000.0,4,2.0,1940,25600,1.0,0,0,1,8
378750.0,3,2.5,2160,3000,1.5,0,0,3,7
269900.0,4,1.75,1530,8750,1.5,0,0,4,7
557000.0,3,3.5,1710,2096,2.0,0,0,3,8
360000.0,4,1.75,3730,16980,1.0,0,0,4,7
352000.0,2,1.0,940,5000,1.0,0,0,4,7
437000.0,3,2.5,1750,22357,2.0,0,0,3,8
322500.0,4,2.5,1820,6753,2.0,0,0,3,7
650000.0,3,3.25,1510,2000,2.0,0,0,3,9
450000.0,3,2.0,1290,1213,3.0,0,0,3,8
278500.0,3,2.0,1570,5250,1.0,0,0,3,7
364950.0,4,2.5,1930,6957,2.0,0,0,3,8
840000.0,4,3.5,2840,40139,1.0,0,4,4,10
268000.0,3,2.5,1550,8134,2.0,0,0,3,7
517534.0,2,1.0,833,143947,1.0,0,0,3,5
632925.0,3,2.5,2990,32239,2.0,0,0,4,8
577500.0,3,2.5,2000,7251,2.0,0,0,3,9
339000.0,4,1.5,2390,7480,1.5,0,2,3,7
570000.0,3,1.75,2910,37461,1.0,0,0,4,7
563500.0,4,1.75,2085,174240,1.0,0,0,3,7
423000.0,4,2.25,2200,9351,1.0,0,0,5,7
355000.0,3,2.25,1860,5028,2.0,0,0,3,8
1550000.0,5,4.25,6070,171626,2.0,0,0,3,12
482000.0,2,1.0,950,3960,1.0,0,0,3,7
625000.0,3,1.75,1600,9135,1.0,0,0,5,7
538000.0,3,2.5,2250,11632,2.0,0,0,3,8
380000.0,3,2.5,2280,10255,2.0,0,0,4,8
375000.0,2,1.0,940,5120,1.0,0,0,3,7
245000.0,3,2.5,1530,8500,1.0,0,0,5,7
310000.0,5,1.75,2190,27260,1.0,0,0,4,7
1300000.0,3,2.0,2350,15021,1.0,0,0,4,8
397000.0,4,2.0,1440,7680,1.0,0,0,3,7
365000.0,3,2.5,2200,4052,2.0,0,0,3,8
328500.0,4,3.0,2290,8250,2.0,0,0,3,9
988000.0,4,3.0,4040,19700,2.0,0,0,3,11
1000000.0,4,2.5,2610,3277,1.5,0,0,5,8
237000.0,3,2.5,1490,2138,2.0,0,0,3,7
525000.0,4,2.5,2450,5280,2.0,0,0,3,8
749000.0,4,2.5,1710,9627,1.0,0,0,3,9
722500.0,5,2.5,4870,11800,2.0,0,0,3,10
843000.0,3,2.5,3130,8750,2.0,0,0,3,10
438000.0,2,2.0,1270,1372,3.0,0,0,3,8
578000.0,3,1.75,2120,10875,1.0,0,2,3,8
227950.0,3,1.5,1670,8230,1.0,0,0,5,7
196000.0,3,2.25,2070,11576,2.0,0,0,3,7
641000.0,2,1.0,1420,5332,1.0,0,0,3,8
350000.0,3,1.5,1250,219978,1.0,0,0,4,6
205000.0,3,1.0,940,7980,1.0,0,0,4,7
400000.0,3,1.75,1920,9102,1.0,0,0,3,7
1030000.0,3,2.5,3545,9816,1.0,0,0,3,10
505000.0,3,2.0,1260,5460,1.0,0,0,3,7
475000.0,5,2.5,2340,7200,1.0,0,0,3,7
520000.0,3,2.25,2590,9263,1.0,0,0,5,8
1450000.0,3,4.5,3970,24920,2.0,0,2,3,10
333500.0,3,1.75,1220,9732,1.0,0,0,3,7
232000.0,3,1.0,1400,10403,1.0,0,0,4,6
691100.0,3,2.75,2360,16117,1.0,0,0,4,8
811000.0,3,1.75,1870,9897,1.0,0,0,4,8
551000.0,3,2.5,2830,5802,2.0,0,0,3,9
496500.0,3,2.5,2260,3640,2.0,0,0,3,8
705000.0,3,3.0,1970,20978,2.0,1,3,4,9
578000.0,4,2.5,3140,9225,1.0,0,2,5,9
255000.0,3,1.75,1240,8659,1.0,0,0,5,7
1050000.0,4,3.5,3450,7832,2.0,0,0,3,10
348000.0,3,2.25,2570,8491,2.0,0,0,4,8
230000.0,3,2.0,1510,3413,2.0,0,0,3,7
359500.0,4,2.25,2390,11250,2.0,0,0,3,9
330000.0,3,1.0,980,7000,1.0,0,0,3,6
80000.0,1,0.75,430,5050,1.0,0,0,2,4
465000.0,3,1.75,1480,6360,1.0,0,0,3,7
325000.0,4,2.5,1850,7324,2.0,0,0,3,8
340500.0,3,2.0,2270,28025,1.0,0,0,4,7
342500.0,3,2.5,1810,5192,2.0,0,0,3,8
290900.0,2,2.0,1610,17600,2.0,0,0,3,6
868700.0,3,4.25,3840,6161,2.0,0,0,3,10
1199000.0,4,2.75,4110,8400,2.0,0,1,3,9
1150000.0,4,3.25,4190,10259,2.0,0,0,3,11
859900.0,4,2.75,3390,6298,2.0,0,0,3,9
520000.0,4,2.25,1890,3006,2.0,0,0,3,7
460000.0,3,2.5,1610,2527,2.0,0,2,3,9
438924.0,3,1.5,1050,4590,1.0,0,0,3,7
315000.0,2,1.0,630,6550,1.0,0,0,3,5
